row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
1,2025-12-24,"ct_20003794278",CMG,"Nicole Malliotakis",SELL,37.64,37.90,0.69,5,SKIP,"No position to sell",,,,,,,,1000.00,1000.00,0
2,2025-12-24,"ct_20003794280",IEP,"Nicole Malliotakis",BUY,7.68,7.37,-4.04,5,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
3,2025-12-31,"ct_20003794296",PUK,"Jefferson Shreve",BUY,31.29,31.12,-0.54,2,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
4,2026-01-02,"ct_20003794298",PRU,"Jefferson Shreve",BUY,113.33,113.87,0.48,4,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
5,2026-01-02,"ct_20003794297",JPM,"Jefferson Shreve",BUY,321.97,324.02,0.64,3,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
6,2026-01-05,"ct_20003794303",HD,"Lloyd Doggett",BUY,354.99,344.09,-3.07,18,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
7,2026-01-06,"ct_10000064374",STLD,"John Fetterman",SELL,175.25,172.74,-1.43,15,SKIP,"No position to sell",,,,,,,,1000.00,1000.00,0
8,2026-01-06,"ct_20003794329",EFC,"Virginia Foxx",BUY,13.62,13.53,-0.66,7,SKIP,"Not in whitelist",,,,,,,,1000.00,1000.00,0
9,2026-01-08,"ct_20003794340",GNPX,"Tim Moore",BUY,2.17,2.00,-7.83,21,SKIP,"Score 0.476 < 0.55",0.4760,0.2333,0.8240,0.2000,0.4000,0.9000,,1000.00,1000.00,0
10,2026-01-08,"ct_20003794341",HOG,"Tim Moore",BUY,21.24,21.15,-0.42,21,BUY,"5.626 shares @ $21.15",0.5949,0.2333,1.1797,0.4000,0.4000,0.9000,118.98,1000.00,881.02,1
11,2026-01-08,"ct_20003794339",CBRL,"Tim Moore",BUY,25.23,29.94,18.70,8,SKIP,"Score 0.465 < 0.55",0.4653,0.5743,0.2520,0.4000,0.4000,0.9000,,881.02,881.02,1
